,bandwidth,N,function,time,holdout_likelihood
0,kdenetwork_ucv,500,kurtotic,0.26146626472473145,-373.63804178186194
0,kdenetwork_bcv,500,kurtotic,196.2440140247345,-383.26101491679543
0,kdenetwork_scv,500,kurtotic,123.99613571166992,-383.26101491679543
0,kdenetwork_PI,500,kurtotic,108.8496413230896,-383.26101491679543
0,kde_network_normal_rule,500,kurtotic,0.013034343719482422,-373.7351892903084
0,SP_network_ucv,500,kurtotic,0.2364656925201416,-373.63804178186194
0,SP_network_bcv,500,kurtotic,78.35911273956299,-382.6721412288971
0,SP_network_scv,500,kurtotic,124.0071063041687,-389.07468883448155
0,SP_network_PI,500,kurtotic,144.98404622077942,-383.5438801946525
0,SP_network_normal_rule,500,kurtotic,0.011026620864868164,-373.7351892903084
0,kdenetwork_ucv,500,separated_bimodal,0.6382930278778076,-234.8627880004397
0,kdenetwork_bcv,500,separated_bimodal,3719.963266134262,-388.0787745327056
0,kdenetwork_scv,500,separated_bimodal,368.52332282066345,-388.0787745327056
0,kdenetwork_PI,500,separated_bimodal,108.56741213798523,-388.0787745327056
0,kde_network_normal_rule,500,separated_bimodal,0.013962745666503906,-285.78492879831987
0,SP_network_ucv,500,separated_bimodal,0.7190771102905273,-234.8627880004397
0,SP_network_bcv,500,separated_bimodal,1662.1293621063232,-354.2727653862549
0,SP_network_scv,500,separated_bimodal,81.94984865188599,-299.9202771016267
0,SP_network_PI,500,separated_bimodal,72.35066199302673,-309.60301505070925
0,SP_network_normal_rule,500,separated_bimodal,0.013962507247924805,-285.78492879831987
0,kdenetwork_ucv,500,asymmetric bimodal,0.9569525718688965,-268.2439946989344
0,kdenetwork_bcv,500,asymmetric bimodal,3786.2871086597443,-310.05262307877786
0,kdenetwork_scv,500,asymmetric bimodal,125.35021328926086,-310.05262307877786
0,kdenetwork_PI,500,asymmetric bimodal,217.31245040893555,-310.05262307877786
0,kde_network_normal_rule,500,asymmetric bimodal,0.013962745666503906,-272.34446265857656
0,SP_network_ucv,500,asymmetric bimodal,0.7291662693023682,-268.2439946989344
0,SP_network_bcv,500,asymmetric bimodal,1436.3858127593994,-294.9987725980596
0,SP_network_scv,500,asymmetric bimodal,84.04110741615295,-294.4406173664938
0,SP_network_PI,500,asymmetric bimodal,72.41770911216736,-294.23296311388367
0,SP_network_normal_rule,500,asymmetric bimodal,0.0229644775390625,-272.34446265857656
0,kdenetwork_ucv,500,kurtotic,0.27227210998535156,-188.69558169362307
0,kdenetwork_bcv,500,kurtotic,3496.3831634521484,-354.3630341359102
0,kdenetwork_scv,500,kurtotic,136.54907608032227,-354.3630341359102
0,kdenetwork_PI,500,kurtotic,108.66041994094849,-354.3630341359102
0,kde_network_normal_rule,500,kurtotic,0.013962507247924805,-345.05161966518403
0,SP_network_ucv,500,kurtotic,0.6722025871276855,-345.8857958793559
0,SP_network_bcv,500,kurtotic,954.2728049755096,-354.3630341359102
0,SP_network_scv,500,kurtotic,180.59430932998657,-356.4358954327703
0,SP_network_PI,500,kurtotic,144.8341248035431,-354.6483290983058
0,SP_network_normal_rule,500,kurtotic,0.011967658996582031,-345.05916351167997
0,kdenetwork_ucv,500,separated_bimodal,1.0387089252471924,-257.665874863717
0,kdenetwork_bcv,500,separated_bimodal,3909.8288078308105,-395.8888393217931
0,kdenetwork_scv,500,separated_bimodal,367.27698612213135,-395.8888393217931
0,kdenetwork_PI,500,separated_bimodal,107.38377213478088,-395.8888393217931
0,kde_network_normal_rule,500,separated_bimodal,0.013986587524414062,-301.5130762051557
0,SP_network_ucv,500,separated_bimodal,0.43543243408203125,-257.665874863717
0,SP_network_bcv,500,separated_bimodal,1086.9513127803802,-369.95517035542207
0,SP_network_scv,500,separated_bimodal,203.8500587940216,-322.9610557610302
0,SP_network_PI,500,separated_bimodal,178.81979823112488,-331.2931968260407
0,SP_network_normal_rule,500,separated_bimodal,0.014015913009643555,-301.5130762051557
0,kdenetwork_ucv,500,asymmetric bimodal,0.6203405857086182,-261.2581355032625
0,kdenetwork_bcv,500,asymmetric bimodal,4077.5279409885406,-303.65064279402213
0,kdenetwork_scv,500,asymmetric bimodal,128.4167025089264,-303.65064279402213
0,kdenetwork_PI,500,asymmetric bimodal,108.66939568519592,-303.65064279402213
0,kde_network_normal_rule,500,asymmetric bimodal,0.01296544075012207,-270.62274242816227
0,SP_network_ucv,500,asymmetric bimodal,0.3789863586425781,-261.2581355032625
0,SP_network_bcv,500,asymmetric bimodal,1085.0189309120178,-291.76471269684794
0,SP_network_scv,500,asymmetric bimodal,85.7287437915802,-293.2022947227098
0,SP_network_PI,500,asymmetric bimodal,72.41891574859619,-291.01345338054773
0,SP_network_normal_rule,500,asymmetric bimodal,0.021941661834716797,-270.62274242816227
0,kdenetwork_ucv,500,kurtotic,0.2074449062347412,-366.8309649712955
0,kdenetwork_bcv,500,kurtotic,883.5335507392883,-377.2214472418982
0,kdenetwork_scv,500,kurtotic,124.00837635993958,-377.2214472418982
0,kdenetwork_PI,500,kurtotic,217.32316660881042,-377.2214472418982
0,kde_network_normal_rule,500,kurtotic,0.013962745666503906,-366.4378147339612
0,SP_network_ucv,500,kurtotic,0.1795201301574707,-365.18654489993486
0,SP_network_bcv,500,kurtotic,1186.1946465969086,-373.17053129528074
0,SP_network_scv,500,kurtotic,123.8115119934082,-372.7398697865607
0,SP_network_PI,500,kurtotic,108.589608669281,-373.785454372313
0,SP_network_normal_rule,500,kurtotic,0.007978439331054688,-365.5395706701448
0,kdenetwork_ucv,500,separated_bimodal,1.0232634544372559,-265.33270508668653
