,bandwidth,N,function,time,holdout_likelihood
0,kdenetwork_bcv,100,asymmetric bimodal,4.443727254867554,-64.42348826935725
0,kdenetwork_scv,100,asymmetric bimodal,20.807865619659424,-64.42348826935725
0,kdenetwork_PI,100,asymmetric bimodal,5.103368282318115,-64.42348826935725
0,kde_network_normal_rule,100,asymmetric bimodal,0.00498652458190918,-54.26665263271602
0,SP_network_ucv,100,asymmetric bimodal,0.07521724700927734,-50.85770773677642
0,SP_network_bcv,100,asymmetric bimodal,2.063645124435425,-57.70992503254536
0,SP_network_scv,100,asymmetric bimodal,6.6183013916015625,-57.70992503254536
0,SP_network_PI,100,asymmetric bimodal,5.081897497177124,-55.779753429172
0,SP_network_normal_rule,100,asymmetric bimodal,0.0019948482513427734,-53.369014235671315
0,kdenetwork_ucv,100,kurtotic,0.017951488494873047,-99.31576958192298
0,kdenetwork_bcv,100,kurtotic,0.03490614891052246,-74.02412319207056
0,kdenetwork_scv,100,kurtotic,0.058841705322265625,-74.02412319207056
0,kdenetwork_PI,100,kurtotic,0.020044803619384766,-74.02412319207056
0,kde_network_normal_rule,100,kurtotic,0.0029921531677246094,-70.99651926588562
0,SP_network_ucv,100,kurtotic,0.027925491333007812,-68.60955963105826
0,SP_network_bcv,100,kurtotic,1.6256532669067383,-70.67740193278424
0,SP_network_scv,100,kurtotic,7.407271146774292,-70.62772816942376
0,SP_network_PI,100,kurtotic,1.7116329669952393,-70.67740193278424
0,SP_network_normal_rule,100,kurtotic,0.001995086669921875,-69.00919115974708
0,kdenetwork_ucv,100,separated_bimodal,0.22057485580444336,-51.31464739876519
0,kdenetwork_bcv,100,separated_bimodal,4.837489604949951,-84.56060897876318
0,kdenetwork_scv,100,separated_bimodal,64.14338207244873,-84.56060897876318
0,kdenetwork_PI,100,separated_bimodal,5.033934593200684,-84.56060897876318
0,kde_network_normal_rule,100,separated_bimodal,0.0040357112884521484,-68.77968885089076
0,SP_network_ucv,100,separated_bimodal,0.10007953643798828,-51.31464739876519
0,SP_network_bcv,100,separated_bimodal,3.7736449241638184,-78.39218659063674
0,SP_network_scv,100,separated_bimodal,35.68884062767029,-68.55111284168747
0,SP_network_PI,100,separated_bimodal,6.697346925735474,-76.48418940183637
0,SP_network_normal_rule,100,separated_bimodal,0.006009101867675781,-68.77968885089076
0,kdenetwork_ucv,100,asymmetric bimodal,0.16653084754943848,-53.403297273000284
0,kdenetwork_bcv,100,asymmetric bimodal,9.388107776641846,-63.09522049801993
0,kdenetwork_scv,100,asymmetric bimodal,45.067267656326294,-63.09522049801993
0,kdenetwork_PI,100,asymmetric bimodal,10.252833366394043,-63.09522049801993
0,kde_network_normal_rule,100,asymmetric bimodal,0.005020618438720703,-58.42771329760265
0,SP_network_ucv,100,asymmetric bimodal,0.06815481185913086,-51.70631951958063
0,SP_network_bcv,100,asymmetric bimodal,1.6254088878631592,-59.25887352748149
0,SP_network_scv,100,asymmetric bimodal,6.687217712402344,-59.25887352748149
0,SP_network_PI,100,asymmetric bimodal,1.7015800476074219,-59.25887352748149
0,SP_network_normal_rule,100,asymmetric bimodal,0.003025054931640625,-56.90012595780722
0,kdenetwork_ucv,100,kurtotic,0.15857601165771484,-69.07620811533073
0,kdenetwork_bcv,100,kurtotic,5.280878305435181,-71.82181794522589
0,kdenetwork_scv,100,kurtotic,17.60093116760254,-71.82181794522589
0,kdenetwork_PI,100,kurtotic,5.1024134159088135,-71.82181794522589
0,kde_network_normal_rule,100,kurtotic,0.00498652458190918,-68.82874270546264
0,SP_network_ucv,100,kurtotic,0.06283259391784668,-68.71934149464327
0,SP_network_bcv,100,kurtotic,2.1203298568725586,-70.17236241512506
0,SP_network_scv,100,kurtotic,5.041338205337524,-70.17236241512506
0,SP_network_PI,100,kurtotic,1.7004332542419434,-70.17236241512506
0,SP_network_normal_rule,100,kurtotic,0.002991199493408203,-68.67061717603707
0,kdenetwork_ucv,100,separated_bimodal,0.21942615509033203,-50.29222291397656
0,kdenetwork_bcv,100,separated_bimodal,6.660856485366821,-83.76125095671102
0,kdenetwork_scv,100,separated_bimodal,79.02517008781433,-83.76125095671102
0,kdenetwork_PI,100,separated_bimodal,4.962922096252441,-83.76125095671102
0,kde_network_normal_rule,100,separated_bimodal,0.005031585693359375,-64.61898945017202
0,SP_network_ucv,100,separated_bimodal,0.16728758811950684,-50.29222291397656
0,SP_network_bcv,100,separated_bimodal,14.30099081993103,-73.51859788772589
0,SP_network_scv,100,separated_bimodal,17.22831654548645,-68.2306657698598
0,SP_network_PI,100,separated_bimodal,3.3039443492889404,-73.51859788772589
0,SP_network_normal_rule,100,separated_bimodal,0.007002830505371094,-64.61898945017202
0,kdenetwork_ucv,100,asymmetric bimodal,0.06718182563781738,-49.65203996623852
0,kdenetwork_bcv,100,asymmetric bimodal,15.743001937866211,-60.602727921657504
0,kdenetwork_scv,100,asymmetric bimodal,21.25361657142639,-60.602727921657504
0,kdenetwork_PI,100,asymmetric bimodal,10.143786668777466,-60.602727921657504
0,kde_network_normal_rule,100,asymmetric bimodal,0.0050084590911865234,-52.279876612020544
0,SP_network_ucv,100,asymmetric bimodal,0.05706501007080078,-48.65171248126241
0,SP_network_bcv,100,asymmetric bimodal,1.4521522521972656,-55.061676080621254
0,SP_network_scv,100,asymmetric bimodal,7.1735687255859375,-55.061676080621254
0,SP_network_PI,100,asymmetric bimodal,1.6812429428100586,-55.061676080621254
0,SP_network_normal_rule,100,asymmetric bimodal,0.0020170211791992188,-51.87434045796819
0,kdenetwork_ucv,100,kurtotic,0.050864219665527344,-71.90703962813916
0,kdenetwork_bcv,100,kurtotic,4.255619525909424,-73.36750258122088
0,kdenetwork_scv,100,kurtotic,31.170676469802856,-73.36750258122088
0,kdenetwork_PI,100,kurtotic,5.04020881652832,-73.36750258122088
0,kde_network_normal_rule,100,kurtotic,0.00498652458190918,-71.90740834394992
0,SP_network_ucv,100,kurtotic,0.04388284683227539,-71.90484434159788
0,SP_network_bcv,100,kurtotic,3.520585775375366,-72.6843292963946
0,SP_network_scv,100,kurtotic,18.847371101379395,-72.9701265847739
0,SP_network_PI,100,kurtotic,3.3489322662353516,-72.9701265847739
0,SP_network_normal_rule,100,kurtotic,0.002991914749145508,-71.90484434159788
0,kdenetwork_ucv,100,separated_bimodal,0.15726709365844727,-52.585839706917966
0,kdenetwork_bcv,100,separated_bimodal,8.011292934417725,-78.65662159656647
0,kdenetwork_scv,100,separated_bimodal,40.71909165382385,-78.65662159656647
0,kdenetwork_PI,100,separated_bimodal,4.9730424880981445,-78.65662159656647
0,kde_network_normal_rule,100,separated_bimodal,0.005008697509765625,-64.49957931501797
0,SP_network_ucv,100,separated_bimodal,0.17634797096252441,-52.585839706917966
0,SP_network_bcv,100,separated_bimodal,5.072323322296143,-75.6631166825263
0,SP_network_scv,100,separated_bimodal,60.30167746543884,-67.76808698091372
0,SP_network_PI,100,separated_bimodal,6.613858938217163,-75.19652575436773
0,SP_network_normal_rule,100,separated_bimodal,0.004011392593383789,-64.49957931501797
0,kdenetwork_ucv,100,asymmetric bimodal,0.0822293758392334,-47.743931542214995
0,kdenetwork_bcv,100,asymmetric bimodal,6.010509252548218,-75.82890919604134
0,kdenetwork_scv,100,asymmetric bimodal,21.316502809524536,-75.82890919604134
0,kdenetwork_PI,100,asymmetric bimodal,10.123273849487305,-75.82890919604134
0,kde_network_normal_rule,100,asymmetric bimodal,0.005027294158935547,-51.65697437032961
0,SP_network_ucv,100,asymmetric bimodal,0.10019564628601074,-46.20519688406574
0,SP_network_bcv,100,asymmetric bimodal,2.2918710708618164,-58.306464675436985
0,SP_network_scv,100,asymmetric bimodal,7.0883564949035645,-58.306464675436985
0,SP_network_PI,100,asymmetric bimodal,1.682502269744873,-58.306464675436985
0,SP_network_normal_rule,100,asymmetric bimodal,0.00301361083984375,-51.328951958317155
0,kdenetwork_ucv,100,kurtotic,0.10172772407531738,-76.17045640393647
0,kdenetwork_bcv,100,kurtotic,5.330744981765747,-77.43025079755482
0,kdenetwork_scv,100,kurtotic,26.440293073654175,-77.43025079755482
0,kdenetwork_PI,100,kurtotic,5.078405857086182,-77.43025079755482
0,kde_network_normal_rule,100,kurtotic,0.004986763000488281,-76.97283766072957
0,SP_network_ucv,100,kurtotic,0.12267351150512695,-76.17045640393647
0,SP_network_bcv,100,kurtotic,3.1765055656433105,-77.22094132560468
0,SP_network_scv,100,kurtotic,17.660126447677612,-77.22094132560468
0,SP_network_PI,100,kurtotic,3.382718086242676,-77.22094132560468
